Timestamp,What is your Gender?,What is your Age?,Program / Major,What year are you in at university?,What is your current overall CGPA?,Average Weekly Study Hours?,Attend all scheduled classes:,Complete all assignments on time,Review course material regularly,I am ready to do anything to be an entrepreneur.,My professional goal is to become an entrepreneur.,I will make every effort to start and run my own business.,I have seriously thought of starting my own business in the future.,I am determined to create a firm in the future.
10/29/2024 22:09,Female,19,Engineering/Technology,1st year,Below 2.50,Less than 5 hours,3,1,2,2,4,3,4,3
10/29/2024 22:11,Male,25,Business/Entrepreneurship,4th year,3.75 - 4.00,5-10 hours,3,3,3,4,4,4,6,6
10/29/2024 22:12,Male,20,Arts and Humanities,1st year,Below 2.50,Less than 5 hours,3,4,4,3,3,2,2,3
10/29/2024 22:13,Female,21,Business/Entrepreneurship,2nd year,Below 2.50,5-10 hours,4,2,3,5,3,2,4,4
10/29/2024 22:14,Female,23,Social Sciences,3rd year,Below 2.50,11-15 hours,2,3,2,3,3,1,2,3
10/29/2024 22:15,Female,19,Engineering/Technology,1st year,3.00 - 3.49,5-10 hours,3,4,1,5,2,2,3,5
10/29/2024 22:16,Male,22,Engineering/Technology,2nd year,3.50 - 3.74,11-15 hours,5,4,4,7,4,7,5,6
10/29/2024 22:18,Female,20,Business/Entrepreneurship,1st year,Below 2.50,5-10 hours,2,3,4,3,3,5,5,2
10/29/2024 22:20,Male,23,Business/Entrepreneurship,3rd year,2.50 - 2.99,More than 15 hours,3,4,4,2,4,4,5,4
10/29/2024 22:21,Female,22,Engineering/Technology,2nd year,3.50 - 3.74,11-15 hours,5,5,3,4,4,7,5,4
10/29/2024 22:22,Male,25,Social Sciences,4th year,3.75 - 4.00,5-10 hours,5,5,4,2,2,2,2,3
10/29/2024 22:23,Male,23,Arts and Humanities,3rd year,3.50 - 3.74,11-15 hours,5,4,3,2,3,2,2,2
10/29/2024 22:24,Female,22,Business/Entrepreneurship,2nd year,3.50 - 3.74,11-15 hours,3,5,4,4,5,6,6,4
10/29/2024 22:25,Male,25,Engineering/Technology,4th year,3.50 - 3.74,Less than 5 hours,4,5,4,4,6,7,5,6
10/29/2024 22:26,Male,19,Business/Entrepreneurship,1st year,Below 2.50,Less than 5 hours,3,1,4,2,2,4,2,4
10/29/2024 22:26,Female,21,Engineering/Technology,2nd year,3.75 - 4.00,11-15 hours,4,5,4,7,7,4,4,4
10/29/2024 22:27,Male,21,Engineering/Technology,2nd year,3.00 - 3.49,5-10 hours,1,1,3,2,5,2,5,4
10/29/2024 22:28,Male,22,Engineering/Technology,2nd year,3.50 - 3.74,11-15 hours,4,4,4,6,5,4,7,4
10/29/2024 22:28,Female,23,Social Sciences,3rd year,3.75 - 4.00,11-15 hours,3,5,5,2,3,2,3,2
10/29/2024 23:19,Male,25,Arts and Humanities,4th year,3.75 - 4.00,More than 15 hours,4,5,4,1,3,3,3,1
10/31/2024 12:40,Female,19,Arts and Humanities,1st year,3.50 - 3.74,Less than 5 hours,3,3,4,1,2,1,2,3
10/31/2024 12:40,Female,19,Social Sciences,1st year,2.50 - 2.99,Less than 5 hours,2,3,3,2,1,3,2,1
